Gender,Age,Annual Income ($),Spending Score (1-100),Profession,Work Experience,Family Size
Female,49,88000,52,Artist,1,2
Male,33,97000,60,Artist,1,2
Female,31,74000,54,Artist,1,1
Male,59,68000,60,Entertainment,0,2
Female,50,18000,45,Marketing,1,1
Male,47,95000,41,Artist,14,2
Female,51,71000,50,Healthcare,9,4
Male,69,8000,46,Doctor,8,2
Female,27,57000,51,Artist,1,3
Male,53,89000,46,Lawyer,1,6
Male,70,84000,56,Artist,0,2
Male,19,50000,55,Artist,9,2
Female,67,50000,52,Lawyer,0,3
Female,54,48000,59,Lawyer,1,2
Male,63,63000,51,Lawyer,7,2
Male,18,9000,59,Entertainment,0,2
Female,43,3000,50,Doctor,0,2
Female,68,82000,48,Artist,8,4
Male,19,81000,59,Artist,0,4
Female,32,97000,47,Homemaker,2,2
Male,70,91000,55,Healthcare,8,2
Female,47,9000,42,Entertainment,8,2
Female,60,44000,49,Artist,0,5
Female,60,10000,56,Healthcare,8,4
Male,59,89000,47,Artist,0,4
Male,26,49000,54,Homemaker,0,3
Female,45,67000,53,Doctor,0,2
Male,40,99000,48,Artist,4,3
Female,23,97000,52,Engineer,2,2
Female,49,98000,42,Artist,1,1
Male,57,52000,51,Healthcare,0,4
Male,38,61000,55,Healthcare,6,3
Male,67,120000,41,Artist,8,1
Female,46,34000,44,Entertainment,8,4
Female,21,24000,57,Marketing,1,3
Male,48,31000,46,Healthcare,7,5
Female,55,11000,58,Artist,0,3
Female,22,55000,55,Artist,5,2
Female,34,76000,60,Entertainment,7,3
Female,50,56000,46,Doctor,0,2
Female,68,46000,55,Entertainment,0,3
Male,18,36000,41,Artist,1,4
Male,48,88000,49,Artist,1,2
Female,40,31000,40,Entertainment,1,2
Female,32,24000,42,Artist,0,1
Male,24,80000,52,Artist,10,1
Female,47,2000,47,Artist,0,1
Female,27,67000,50,Artist,0,2
Male,48,58000,42,Doctor,1,2
Male,20,80000,49,Engineer,3,3
Female,23,65000,41,Artist,0,4
Female,49,4000,48,Executive,1,7
Male,67,98000,59,Artist,0,3
Male,26,52000,55,Executive,0,5
Male,49,86000,56,Healthcare,10,2
Female,21,82000,42,Doctor,1,2
Female,66,43000,50,Homemaker,3,2
Male,54,78000,46,Lawyer,1,1
Male,68,13000,43,Healthcare,6,5
Male,66,13000,48,Healthcare,9,3
Male,65,34000,52,Entertainment,4,4
Female,19,25000,54,Artist,0,1
Female,38,71000,42,Doctor,1,5
Male,19,2000,46,Artist,1,1
Female,18,97000,48,Executive,0,3
Female,19,51000,50,Executive,8,4
Female,63,9000,43,Lawyer,1,1
Female,49,79000,59,Artist,0,2
Female,51,84000,43,Artist,2,7
Female,50,87000,57,Artist,1,2
Male,27,36000,56,Executive,0,3
Female,38,50000,40,Executive,1,4
Female,40,97000,58,Engineer,9,4
Male,39,6000,91,Healthcare,1,3
Female,23,12000,29,Entertainment,9,2
Female,31,46000,77,Marketing,1,2
Male,43,89000,35,Engineer,0,7
Male,40,4000,95,Artist,0,2
Male,59,38000,11,Engineer,0,2
Male,38,64000,75,Entertainment,8,5
Male,47,66000,9,Executive,9,5
Male,39,26000,75,Lawyer,0,2
Female,25,41000,34,Healthcare,6,4
Female,31,45000,71,Artist,5,1
Male,20,89000,5,Engineer,1,2
Female,29,92000,88,Executive,5,5
Female,44,76000,7,Artist,5,2
Male,32,85000,73,Artist,3,4
Male,19,22000,10,Marketing,8,4
Female,35,15000,72,Artist,4,4
Female,57,32000,5,Engineer,0,2
Male,32,66000,93,Artist,0,5
Female,28,62000,40,Doctor,5,3
Female,32,85000,87,Lawyer,1,2
Male,25,71000,12,Engineer,0,5
Male,28,26000,97,Marketing,8,5
Male,48,52000,36,Engineer,9,2
Female,32,38000,74,Lawyer,1,1
Female,34,51000,22,Healthcare,7,4
Male,34,90000,90,Artist,6,3
Male,43,30000,17,Lawyer,0,9
Male,39,41000,88,Engineer,0,1
Female,44,17000,20,Engineer,0,2
Female,38,92000,76,Artist,2,2
Female,47,80000,16,Healthcare,0,4
Female,27,10000,89,Marketing,8,4
Male,37,16000,1,Executive,1,1
Female,30,87000,78,Artist,3,4
Male,34,66000,1,Lawyer,1,2
Female,30,86000,73,Artist,3,3
Female,56,9000,35,Artist,1,1
Female,29,50000,83,Healthcare,1,5
Male,19,35000,5,Executive,0,5
Female,31,58000,93,Healthcare,1,5
Male,50,47000,26,Doctor,0,2
Female,36,54000,75,Artist,5,3
Male,42,79000,20,Homemaker,9,3
Female,33,83000,95,Artist,0,5
Female,36,57000,27,Artist,0,3
Male,32,0,63,Artist,2,2
Male,40,69000,13,Artist,3,5
Male,28,4000,75,Executive,0,2
Male,36,79000,10,Lawyer,0,2
Male,36,99000,92,Artist,5,2
Female,52,20000,13,Lawyer,0,2
Female,30,28000,86,Artist,3,4
Male,58,29000,15,Engineer,11,1
Male,27,45000,69,Healthcare,2,6
Male,59,86000,14,Healthcare,4,3
Male,35,42000,90,Engineer,8,1
Female,37,59000,32,Artist,7,2
Female,32,61000,86,Entertainment,7,5
Male,46,11000,15,Artist,7,1
Female,29,66000,88,Artist,4,4
Female,41,39000,39,Artist,1,1
Male,30,72000,97,Artist,6,2
Female,54,14000,24,Lawyer,1,2
Male,28,44000,68,Doctor,5,3
Female,41,76000,17,Engineer,8,2
Female,36,95000,85,Artist,4,2
Female,34,92000,23,Artist,5,3
Female,32,98000,69,Artist,8,2
Male,33,96000,8,Executive,9,2
Female,38,45000,91,Artist,10,4
Female,47,8000,16,Artist,7,2
Female,35,46000,79,Executive,1,3
Female,45,78000,28,Artist,0,2
Male,32,4000,74,Artist,1,5
Male,32,81000,18,Executive,1,2
Male,30,33000,83,Artist,4,2
Female,21,40000,10,Healthcare,0,3
Male,34,85000,16,Healthcare,9,3
Female,16,60000,0,Engineer,6,8
Female,76,60000,39,Healthcare,4,2
Female,62,63000,59,Entertainment,0,2
Female,63,10000,52,Healthcare,8,3
Female,19,55000,61,Healthcare,0,3
Male,46,93000,12,Artist,2,1
Female,48,15000,7,Doctor,0,2
Female,80,39000,33,Engineer,9,4
Female,1,57000,93,Engineer,1,2
Female,0,22000,92,Artist,2,1
Male,86,12000,70,Marketing,2,4
Male,49,50000,82,Lawyer,8,1
Male,48,95000,68,Doctor,2,4
Female,46,66000,70,Healthcare,3,3
Male,79,20000,40,Doctor,6,2
Female,83,35000,99,Doctor,8,2
Female,66,71000,34,Executive,9,2
Female,59,76000,61,Artist,9,1
Female,39,84000,33,Artist,5,3
Female,95,72000,51,Engineer,4,2
Male,43,33000,55,Artist,4,3
Female,93,93000,37,Healthcare,1,5
Female,40,83000,48,Homemaker,4,1
Female,78,23000,8,Engineer,1,1
Female,25,40000,77,Artist,5,4
Male,76,89000,86,Healthcare,9,4
Male,0,33000,64,Marketing,1,1
Male,15,94000,30,Healthcare,7,2
Female,6,93000,53,Lawyer,8,2
Male,84,7000,28,Healthcare,0,4
Female,67,18000,88,Lawyer,0,2
Female,78,3000,14,Healthcare,0,4
Female,4,84000,54,Artist,9,1
Female,29,62000,34,Healthcare,0,4
Male,91,9000,96,Healthcare,1,5
Male,95,36000,35,Artist,0,4
Male,55,37000,74,Lawyer,1,4
Female,14,50000,11,Artist,1,2
Male,92,83000,16,Executive,1,5
Female,65,79000,17,Artist,0,3
Female,84,40000,14,Healthcare,1,4
Female,77,47000,58,Artist,0,6
Female,53,4000,20,Artist,0,4
Female,28,38000,75,Entertainment,7,2
Male,23,0,96,Doctor,1,3
Female,32,7000,16,Artist,1,2
Female,37,41000,2,Artist,1,2
Female,89,65000,0,Engineer,0,5
Male,80,20000,93,Engineer,1,3
Female,27,44000,65,Doctor,8,1
Female,78,3000,14,Artist,5,4
Female,86,72000,13,Lawyer,7,3
Female,46,27000,32,Engineer,4,4
Male,59,85000,49,Lawyer,4,2
Male,12,38000,18,Executive,10,1
Male,79,73000,96,Homemaker,6,7
Female,79,64000,64,Artist,2,3
Male,26,26000,60,Executive,6,4
Female,63,47000,16,Artist,2,3
Female,52,35000,85,Doctor,2,6
Female,32,31000,24,Lawyer,2,3
Female,64,13000,38,Engineer,3,4
Female,37,79000,10,Homemaker,1,7
Male,7,82000,39,Entertainment,2,2
Female,40,28000,68,Artist,1,1
Female,78,36000,79,Artist,0,3
Female,34,8000,76,Entertainment,6,6
Female,52,88000,39,Artist,1,2
Male,94,91000,36,Entertainment,0,4
Female,1,12000,82,Doctor,0,3
Female,96,1000,76,Entertainment,0,3
Female,18,143000,99,Artist,0,2
Female,37,18000,57,Artist,1,2
Male,78,65000,89,Lawyer,1,2
Male,16,9000,88,Executive,7,4
Male,93,95000,21,Artist,1,1
Female,74,78000,12,Engineer,9,3
Male,68,48000,73,Healthcare,3,3
Female,32,63000,87,Executive,1,4
Female,43,85000,63,Marketing,1,2
Female,52,43000,58,Artist,1,3
Female,63,74000,20,Artist,1,2
Female,33,67000,11,Healthcare,0,1
Male,86,59000,40,Artist,0,1
Female,85,140000,84,Entertainment,1,1
Female,73,31000,47,Healthcare,1,2
Female,21,5000,91,Marketing,0,1
Female,93,19000,58,Engineer,1,3
Male,9,27000,62,Entertainment,7,1
Female,10,68000,80,Doctor,6,3
Male,11,38000,66,Artist,8,8
Female,48,50000,36,Engineer,6,4
Female,73,80000,73,Entertainment,2,2
Female,66,69000,43,Executive,9,3
Female,79,31000,91,Engineer,3,3
Male,62,87000,41,Doctor,6,2
Male,17,79000,16,Artist,1,3
Male,32,32000,86,Entertainment,5,2
Male,85,153787,100,Entertainment,3,3
Male,31,95851,16,Healthcare,5,2
Female,31,145015,73,Healthcare,6,3
Female,38,148539,7,Healthcare,5,2
Female,90,117319,21,Lawyer,1,2
Female,65,180243,26,Marketing,6,2
Female,63,165052,12,Artist,4,2
Female,61,120487,14,Doctor,0,2
Male,26,112766,83,Engineer,8,4
Female,17,156488,65,Engineer,1,4
Male,56,97562,15,Executive,5,6
Female,12,77501,30,Engineer,5,4
Female,24,118302,100,Lawyer,5,1
Female,13,64277,9,Executive,9,4
Male,12,53927,77,Doctor,2,3
Male,72,93921,93,Lawyer,9,2
Female,54,132046,8,Homemaker,4,4
Male,45,183217,91,Artist,7,2
Male,66,182937,44,Marketing,8,1
Female,27,68272,56,Healthcare,8,4
Male,36,69841,21,Engineer,10,2
Male,5,69078,60,Lawyer,13,1
Female,89,110667,100,Healthcare,2,4
Male,13,95469,94,Doctor,6,1
Female,91,102861,40,Artist,4,1
Male,16,133551,7,Artist,3,1
Female,63,64589,90,Engineer,7,1
Male,52,152755,39,Engineer,4,2
Female,37,92313,58,Healthcare,1,5
Female,78,98922,2,Artist,2,3
Male,24,165846,33,Engineer,0,4
Female,4,93713,62,Engineer,3,4
Male,84,137641,67,Healthcare,0,5
Male,0,173743,96,Artist,0,4
Female,67,116126,58,Entertainment,10,2
Female,32,112246,30,Healthcare,8,3
Female,39,69384,75,Healthcare,1,5
Female,68,76529,62,Healthcare,0,2
Female,7,123804,28,Doctor,14,1
Female,76,68292,55,Artist,8,2
Female,84,173185,99,Artist,3,1
Male,75,142034,82,Entertainment,1,4
Male,22,107941,61,Artist,0,1
Female,90,149840,61,Engineer,1,1
Female,4,148431,99,Healthcare,1,8
Female,78,126599,84,Lawyer,0,3
Female,58,57180,22,Healthcare,9,1
Female,99,184426,41,Artist,9,1
Female,24,151085,39,Marketing,2,5
Female,88,166107,98,Artist,13,4
Female,92,67850,91,Artist,9,4
Male,99,173394,4,Engineer,13,1
Female,51,72303,98,Lawyer,7,1
Male,23,181760,35,Healthcare,14,3
Female,13,146858,75,Doctor,9,1
Male,22,172923,20,Engineer,6,1
Female,89,115811,87,Homemaker,11,4
Male,20,184324,51,Marketing,13,5
Female,72,67353,19,Lawyer,9,3
Male,17,165999,71,Healthcare,9,3
Male,90,164914,18,Artist,8,3
Male,99,63364,61,Entertainment,1,2
Female,39,182352,73,Engineer,4,3
Female,37,148544,56,Entertainment,1,2
Male,46,62833,85,Artist,1,2
Male,65,120627,72,Healthcare,0,2
Female,60,130898,30,Artist,1,1
Female,93,103130,74,Executive,12,3
Male,72,106681,15,Healthcare,9,5
Female,36,87353,25,Entertainment,1,5
Male,52,88046,61,Artist,8,1
Female,72,98168,49,Entertainment,1,2
Female,28,178265,5,Lawyer,2,1
Female,48,167232,92,Doctor,6,4
Male,85,140478,43,Doctor,6,4
Male,22,159296,83,Artist,8,1
Female,30,144043,78,Doctor,1,1
Male,46,72594,64,Artist,1,2
Female,82,180288,77,Artist,2,2
Female,73,165734,51,Entertainment,0,1
Male,8,175407,2,Artist,5,1
Male,90,70201,8,Engineer,0,2
Male,34,91503,26,Artist,0,6
Female,10,184522,43,Artist,0,2
Female,79,143560,83,Artist,1,3
Male,83,131574,97,Artist,1,2
Female,20,151124,18,Artist,15,3
Female,25,67447,5,Artist,15,2
Female,26,117454,8,Healthcare,16,2
Female,18,86203,23,Doctor,13,1
Female,7,136231,10,Artist,7,1
Male,1,89144,1,Doctor,12,2
Male,21,119116,30,Artist,17,4
Female,86,163463,31,Artist,9,4
Female,75,151696,82,Artist,15,1
Male,78,184736,52,Lawyer,13,1
Female,87,70419,69,Homemaker,6,4
Female,8,119104,41,Entertainment,14,3
Male,59,130950,28,Executive,5,3
Male,13,140950,77,Artist,15,2
Female,55,82285,35,Engineer,16,1
Female,50,91389,92,Healthcare,11,7
Male,54,186359,95,Doctor,13,2
Male,13,178989,46,Doctor,14,3
Male,79,166335,45,Engineer,5,5
Female,65,119889,11,Artist,17,6
Female,51,66852,73,Executive,15,3
Male,18,103896,36,Executive,16,4
Male,21,187761,87,Healthcare,2,3
Male,37,102717,93,Healthcare,7,4
Male,83,102647,83,Entertainment,0,2
Female,96,113585,31,Lawyer,0,4
Female,65,86509,88,Artist,0,4
Male,80,59099,44,Marketing,1,7
Female,75,135088,5,Lawyer,1,5
Female,87,110870,78,Engineer,1,4
Female,86,187667,12,Artist,0,1
Female,36,124614,25,Artist,8,5
Female,78,166492,40,Homemaker,9,7
Female,62,172758,69,Entertainment,1,2
Male,89,122430,19,Healthcare,1,1
Female,56,183540,96,Entertainment,0,6
Female,35,96484,34,Artist,5,4
Male,33,112587,71,Artist,1,4
Female,58,155672,71,Entertainment,7,7
Female,68,72847,93,Artist,1,2
Male,38,71897,32,Entertainment,2,3
Male,31,158479,57,Doctor,1,5
Male,90,89251,4,Entertainment,1,1
Male,28,179911,24,Engineer,1,1
Male,1,111558,85,Healthcare,7,4
Male,78,127615,78,Executive,10,7
Female,23,50076,32,Artist,3,5
Female,25,77779,62,Artist,4,1
Male,59,169999,38,Engineer,5,5
Female,7,106581,76,Doctor,1,7
Female,24,78223,41,Lawyer,0,1
Male,76,136259,14,Artist,0,7
Male,37,153399,93,Entertainment,1,6
Female,6,162858,91,Artist,0,1
Female,0,57373,29,Artist,0,7
Male,3,133602,47,Artist,1,1
Female,95,66322,88,Artist,0,3
Female,0,68761,16,Lawyer,1,4
Male,7,70749,86,Artist,13,3
Male,54,65874,87,Artist,7,6
Male,89,115996,24,Engineer,15,1
Female,58,67097,91,Engineer,6,1
Female,12,108027,64,Artist,13,5
Male,7,176349,80,Healthcare,8,2
Male,11,88452,40,Healthcare,8,6
Male,74,128266,55,Engineer,7,4
Female,64,156777,20,Healthcare,7,2
Female,48,123234,50,Lawyer,10,7
Female,8,60790,38,Artist,1,5
Female,15,181332,99,Artist,14,6
Male,1,187297,7,Artist,0,1
Female,21,153885,86,Artist,6,6
Male,84,53500,44,Marketing,3,4
Female,5,69443,28,Doctor,4,6
Female,47,124072,56,Lawyer,0,7
Female,96,135800,29,Healthcare,0,7
Male,93,120597,96,Artist,2,4
Female,16,91358,11,Entertainment,1,4
Male,56,53231,41,Marketing,0,5
Female,76,156330,31,Engineer,1,2
Male,0,186002,80,Doctor,15,2
Female,70,111760,53,Executive,12,5
Female,47,143906,12,Artist,4,3
Male,13,182410,22,Healthcare,11,4
Male,86,98463,46,Homemaker,10,5
Male,91,93762,28,Artist,15,7
Male,97,104582,50,Healthcare,8,2
Male,20,130813,92,Artist,17,5
Female,11,59202,92,Healthcare,5,4
Female,28,79968,45,Lawyer,9,2
Male,32,104824,42,Artist,0,7
Male,82,188719,30,Lawyer,0,6
Male,39,187536,66,Healthcare,3,6
Male,7,134008,85,Entertainment,2,1
Female,13,176397,71,Artist,6,3
Female,34,154888,43,Healthcare,9,6
Male,76,155622,81,Healthcare,0,2
Female,30,62330,60,Healthcare,1,1
Female,69,112838,34,Healthcare,1,7
Male,22,58283,59,Homemaker,2,4
Female,60,77857,81,Artist,1,6
Male,66,125024,25,Artist,0,1
Female,57,136242,34,Artist,9,1
Female,60,81934,81,Healthcare,1,4
Female,59,130511,97,Artist,3,4
Female,54,144502,88,Lawyer,3,1
Male,90,63769,6,Artist,4,2
Female,14,66760,20,Artist,0,4
Female,34,135115,54,Entertainment,1,7
Female,85,179877,17,Healthcare,12,4
Female,83,93351,65,Doctor,1,1
Male,12,84547,96,Homemaker,3,3
Male,95,121725,3,Artist,12,3
Male,41,65723,91,Artist,6,7
Female,38,96794,96,Healthcare,6,3
Male,68,72352,61,Healthcare,8,5
Female,4,53097,21,Healthcare,0,7
Female,5,144831,17,Artist,1,3
Female,3,183851,10,Doctor,1,2
Female,20,111896,90,Executive,1,3
Female,3,64824,30,Executive,1,1
Male,36,88565,16,Healthcare,1,5
Female,70,104974,63,Artist,1,1
Female,17,167060,47,Artist,1,5
Female,31,69018,17,Artist,6,1
Female,48,174109,96,Entertainment,0,1
Male,28,62186,29,Marketing,0,1
Male,97,183783,70,Healthcare,9,3
Male,81,83771,1,Artist,1,2
Female,37,148196,91,Artist,0,2
Male,85,131742,87,Entertainment,1,1
Female,78,59971,94,Homemaker,14,7
Female,13,88960,2,Entertainment,13,3
Female,53,140107,38,Healthcare,1,5
Female,41,161896,49,Entertainment,1,3
Female,9,57272,60,Engineer,1,1
Male,20,119952,2,Healthcare,8,2
Female,98,167197,63,Doctor,1,5
Female,44,186116,2,Healthcare,8,6
Female,66,134677,59,Healthcare,15,5
Female,58,180479,74,Healthcare,0,3
Male,97,112783,21,Artist,9,6
Male,13,150258,17,Doctor,0,3
Male,48,115832,92,Artist,2,2
Female,47,104834,44,Artist,0,7
Male,93,152571,66,Doctor,14,5
Female,11,162287,45,Engineer,3,2
Female,68,171761,59,Doctor,1,6
Female,87,77709,73,Artist,0,1
Female,22,95053,17,Entertainment,1,2
Male,89,74820,33,Doctor,1,2
Male,57,152267,92,Engineer,9,5
Male,91,71925,14,Artist,4,2
Female,84,151340,95,Artist,1,7
Male,56,162921,51,Executive,0,4
Female,26,52234,30,Executive,1,2
Female,56,100271,87,Artist,1,5
Female,6,170266,23,Artist,3,2
Female,33,88763,1,Entertainment,1,1
Female,89,107359,26,Artist,10,6
Male,99,164781,83,Engineer,0,2
Female,25,156016,85,Artist,2,1
Female,96,186882,40,Entertainment,1,7
Female,35,99300,88,Homemaker,5,2
Male,16,58127,65,Marketing,0,3
Female,81,89211,12,Doctor,1,7
Female,7,148607,59,Homemaker,1,7
Female,31,139592,62,Marketing,1,1
Female,16,172051,62,Healthcare,1,3
Male,89,57033,99,Artist,0,4
Male,84,117612,63,Engineer,0,6
Male,40,185321,96,Artist,0,7
Female,17,186577,5,Healthcare,8,5
Male,0,151298,89,Artist,0,6
Female,69,123925,52,Artist,1,7
Female,17,169496,12,Lawyer,11,6
Female,0,142892,25,Entertainment,8,1
Female,34,58979,3,Entertainment,9,5
Female,51,141416,100,Healthcare,15,1
Male,54,104854,67,Healthcare,1,7
Female,19,180331,14,Artist,17,5
Female,99,172896,13,Engineer,0,3
Female,2,101451,82,Healthcare,4,3
Female,91,189974,37,Engineer,8,1
Male,65,90084,65,Artist,1,6
Female,47,112247,24,Executive,4,5
Female,91,181775,61,Artist,4,5
Female,64,59088,31,Artist,1,3
Female,91,60856,23,Artist,1,6
Male,32,149900,34,Artist,6,3
Male,15,142776,98,Engineer,8,5
Male,22,162598,84,Artist,8,3
Female,37,146195,89,Healthcare,4,4
Male,83,135268,53,Lawyer,4,5
Female,89,136037,1,Marketing,5,1
Female,33,111191,67,Artist,9,4
Female,13,144111,62,Entertainment,12,5
Female,71,177359,56,Doctor,6,2
Female,10,112818,85,Marketing,15,7
Male,49,53509,98,Artist,5,4
Female,9,168269,75,Executive,10,2
Female,53,86766,2,Lawyer,16,3
Female,63,52661,25,Healthcare,12,5
Female,46,148520,14,Healthcare,11,5
Male,42,149936,52,Artist,15,3
Female,73,102296,31,Entertainment,7,5
Male,75,178416,16,Executive,10,7
Female,49,83788,41,Doctor,15,1
Female,96,184771,77,Engineer,8,5
Female,52,70302,88,Executive,14,3
Female,15,58639,51,Entertainment,5,7
Male,91,97879,40,Entertainment,15,7
Male,22,64707,29,Entertainment,7,3
Male,62,71795,87,Healthcare,8,1
Male,41,76567,85,Doctor,16,1
Male,61,126370,20,Artist,11,4
Female,71,154007,32,Artist,7,7
Female,91,69720,78,Lawyer,17,6
Female,94,85265,68,Executive,7,6
Female,3,155864,31,Healthcare,13,3
Female,15,99421,72,Artist,8,7
Female,96,145457,57,Executive,2,1
Male,12,118041,77,Artist,9,2
Female,23,73759,83,Doctor,0,7
Male,94,90082,17,Artist,5,7
Female,7,74928,12,Artist,0,6
Female,74,101352,36,Lawyer,0,5
Female,52,93947,81,Healthcare,9,2
Male,39,134629,23,Engineer,1,6
Male,72,101858,70,Healthcare,8,6
Female,55,165501,47,Artist,10,4
Male,29,135931,74,Lawyer,5,1
Male,38,103356,20,Marketing,1,6
Female,44,75195,79,Artist,1,3
Male,58,123083,44,Entertainment,6,5
Male,77,73884,30,Healthcare,1,2
Female,56,91180,61,Entertainment,1,7
Male,79,86235,52,Artist,0,2
Female,97,96400,4,Doctor,1,7
Male,78,83599,12,Healthcare,1,6
Female,91,82535,50,Healthcare,0,1
Male,35,92227,8,Lawyer,0,5
Female,43,150444,27,Artist,13,4
Female,37,149095,83,Lawyer,1,2
Male,63,113605,42,Artist,3,3
Female,16,93854,82,Healthcare,0,7
Male,32,118280,92,Artist,0,5
Male,91,94576,90,Artist,0,1
Female,33,129257,70,Executive,6,3
Female,57,70373,10,Healthcare,2,6
Female,43,77600,66,Healthcare,0,1
Female,26,113707,97,Entertainment,0,5
Female,59,189672,8,Doctor,0,7
Female,61,143180,58,Artist,0,5
Female,59,174890,14,Marketing,3,4
Male,66,121377,19,Artist,7,7
Male,26,154857,13,Healthcare,0,7
Female,67,160945,51,Healthcare,0,5
Female,85,119557,35,Artist,0,2
Female,76,187141,33,Doctor,0,7
Female,57,97468,22,Artist,0,1
Female,77,160351,77,Lawyer,8,5
Female,66,178627,94,Healthcare,1,2
Female,49,170188,80,Lawyer,1,6
Female,36,166007,40,Doctor,1,4
Male,74,91794,83,Entertainment,0,7
Female,16,189072,86,Artist,6,3
Male,27,152717,15,Executive,1,6
Female,3,158549,98,Executive,0,3
Male,31,134263,94,Marketing,1,3
Female,30,148236,28,Executive,1,1
Male,94,171677,81,Artist,0,6
Female,31,189446,38,Artist,1,6
Male,49,106633,53,Artist,0,3
Male,49,81084,48,Executive,6,5
Male,53,148759,52,Doctor,7,7
Female,3,117638,95,Healthcare,2,7
Female,91,159537,37,Doctor,4,1
Male,26,79526,6,Marketing,9,7
Male,28,101414,64,Artist,8,1
Female,92,109519,72,Entertainment,1,4
Female,59,156880,70,Artist,0,7
Male,15,157278,58,Artist,0,6
Female,23,144916,84,Engineer,1,7
Male,54,59163,100,Marketing,3,3
Female,93,93991,49,Artist,1,3
Female,65,58318,45,Doctor,1,1
Female,13,180786,88,Lawyer,1,5
Male,71,84622,45,Doctor,0,6
Male,1,92674,59,Artist,8,4
Female,57,87553,94,Artist,1,1
Male,14,74174,79,Entertainment,1,2
Female,77,180831,33,Healthcare,1,2
Female,89,137397,33,Doctor,1,7
Male,17,96154,100,Artist,1,4
Male,86,172477,69,Entertainment,1,3
Male,42,59954,37,Executive,4,4
Female,29,112240,95,Entertainment,0,4
Female,54,145679,35,Artist,0,2
Male,96,136265,49,Artist,12,5
Female,58,74869,12,Healthcare,0,3
Female,52,109425,46,Engineer,0,1
Female,3,126015,57,Healthcare,0,1
Female,13,156951,66,Healthcare,4,7
Female,3,127172,68,Healthcare,1,2
Male,89,113834,22,Doctor,0,3
Male,83,132005,2,Entertainment,0,5
Female,80,171323,78,Lawyer,10,4
Female,74,92355,87,Entertainment,1,4
Male,42,60982,3,Healthcare,0,5
Female,91,51742,33,Artist,8,3
Female,31,138612,71,Executive,9,2
Male,8,158123,84,Artist,1,1
Male,64,164675,65,Executive,0,5
Female,41,172882,27,Healthcare,8,7
Female,62,70119,93,Artist,0,1
Male,41,113998,26,Healthcare,7,7
Male,22,114011,40,Artist,5,7
Male,5,57265,89,Entertainment,7,7
Female,38,130597,2,Artist,6,1
Female,88,121597,7,Engineer,0,5
Male,56,103210,100,Artist,6,6
Male,47,66308,8,Executive,0,4
Male,4,141336,93,Homemaker,2,1
Male,82,153632,76,Entertainment,9,7
Female,31,65520,71,Lawyer,1,2
Female,69,153217,83,Healthcare,1,6
Male,62,92768,75,Doctor,1,1
Female,54,132345,10,Artist,0,2
Female,60,186069,49,Marketing,1,2
Female,31,53802,32,Artist,1,7
Female,17,103739,62,Healthcare,6,4
Female,15,50550,34,Healthcare,9,7
Female,37,145648,21,Healthcare,7,6
Male,36,85737,37,Executive,0,3
Female,27,99950,20,Entertainment,0,4
Female,11,83220,21,Engineer,7,4
Male,83,73410,50,Entertainment,8,5
Female,71,64310,43,Marketing,2,1
Female,20,59844,79,Doctor,0,1
Male,3,67787,1,Executive,1,6
Male,52,172841,4,Engineer,0,1
Male,75,145528,61,Healthcare,1,2
Male,36,173807,42,Artist,0,2
Male,60,185794,69,Entertainment,7,1
Male,8,119780,71,Healthcare,1,3
Female,9,158596,86,Artist,1,2
